biome	sexo	note
altura	m	1.81
altura	m	2.12
altura	m	2.14
altura	m	2.16
altura	m	2.16
altura	m	2.17
altura	m	2.19
altura	m	2.28
altura	m	2.28
altura	m	2.3
altura	m	2.32
altura	m	2.35
altura	m	2.38
altura	m	2.39
altura	m	2.4
altura	m	2.41
altura	m	2.42
altura	m	2.43
altura	m	2.44
altura	m	2.47
altura	m	2.48
altura	m	2.48
altura	m	2.5
altura	m	2.5
altura	m	2.52
altura	m	2.53
altura	m	2.53
altura	m	2.56
altura	m	2.56
altura	m	2.56
altura	m	2.56
altura	m	2.57
altura	m	2.59
altura	m	2.59
altura	m	2.59
altura	m	2.59
altura	m	2.61
altura	m	2.62
altura	m	2.62
altura	m	2.62
altura	m	2.63
altura	m	2.63
altura	m	2.63
altura	m	2.63
altura	m	2.66
altura	m	2.67
altura	m	2.69
altura	m	2.69
altura	m	2.7
altura	m	2.71
altura	m	2.71
altura	m	2.72
altura	m	2.72
altura	m	2.72
altura	m	2.73
altura	m	2.74
altura	m	2.75
altura	m	2.77
altura	m	2.77
altura	m	2.78
altura	m	2.78
altura	m	2.78
altura	m	2.79
altura	m	2.79
altura	m	2.79
altura	m	2.79
altura	m	2.8
altura	m	2.8
altura	m	2.82
altura	m	2.82
altura	m	2.82
altura	m	2.85
altura	m	2.86
altura	m	2.86
altura	m	2.87
altura	m	2.88
altura	m	2.89
altura	m	2.9
altura	m	2.92
altura	m	2.92
altura	m	2.93
altura	m	2.93
altura	m	2.94
altura	m	2.95
altura	m	2.95
altura	m	2.95
altura	m	2.97
altura	m	2.97
altura	m	2.97
altura	m	2.98
altura	m	2.98
altura	m	2.99
altura	m	2.99
altura	m	2.99
altura	m	2.99
altura	m	2.99
altura	m	3
altura	m	3.01
altura	m	3.02
altura	m	3.03
altura	m	3.03
altura	m	3.03
altura	m	3.03
altura	m	3.04
altura	m	3.05
altura	m	3.05
altura	m	3.05
altura	m	3.06
altura	m	3.06
altura	m	3.06
altura	m	3.07
altura	m	3.07
altura	m	3.08
altura	m	3.09
altura	m	3.1
altura	m	3.11
altura	m	3.11
altura	m	3.13
altura	m	3.14
altura	m	3.14
altura	m	3.14
altura	m	3.14
altura	m	3.15
altura	m	3.16
altura	m	3.16
altura	m	3.17
altura	m	3.17
altura	m	3.18
altura	m	3.18
altura	m	3.23
altura	m	3.23
altura	m	3.24
altura	m	3.25
altura	m	3.26
altura	m	3.26
altura	m	3.27
altura	m	3.28
altura	m	3.28
altura	m	3.29
altura	m	3.3
altura	m	3.3
altura	m	3.31
altura	m	3.31
altura	m	3.31
altura	m	3.32
altura	m	3.32
altura	m	3.33
altura	m	3.33
altura	m	3.34
altura	m	3.34
altura	m	3.34
altura	m	3.35
altura	m	3.35
altura	m	3.35
altura	m	3.37
altura	m	3.38
altura	m	3.38
altura	m	3.39
altura	m	3.39
altura	m	3.43
altura	m	3.44
altura	m	3.44
altura	m	3.45
altura	m	3.45
altura	m	3.46
altura	m	3.46
altura	m	3.47
altura	m	3.48
altura	m	3.49
altura	m	3.5
altura	m	3.5
altura	m	3.5
altura	m	3.51
altura	m	3.51
altura	m	3.51
